--Country--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
"11 Jan, 2022",15,0.00,0.00
"12 Jan, 2022",2,0.00,0.00
"13 Jan, 2022",0,0,0
"14 Jan, 2022",0,0,0
"15 Jan, 2022",0,0,0
"16 Jan, 2022",0,0,0
"17 Jan, 2022",6,0.00,0.00
"18 Jan, 2022",3,0.00,0.00
"19 Jan, 2022",2,0.00,0.00
"20 Jan, 2022",0,0,0
"21 Jan, 2022",2,0.00,0.00
"22 Jan, 2022",7,1.43,0.01
"23 Jan, 2022",0,0,0
"24 Jan, 2022",12,2.50,0.03
"25 Jan, 2022",0,0,0
"26 Jan, 2022",0,0,0
"27 Jan, 2022",0,0,0
"28 Jan, 2022",2,0.00,0.00
"29 Jan, 2022",0,0,0
"30 Jan, 2022",0,0,0
"31 Jan, 2022",1,0.00,0.00
"
","
"
--Country--,--Device--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
United_Kingdom,Mobile,292,0.72,0.21
United_Kingdom,Tablet,0,0.00,0.00
"
","
"
"
","
"
--Country--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
Canada,252,0.48,0.12
"
","
"
--Date--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
"1 Jan, 2022",0,0.00,0.00
"2 Jan, 2022",5,0.00,0.00
"3 Jan, 2022",25,0.40,0.01
"4 Jan, 2022",4,0.00,0.00
"5 Jan, 2022",0,0.00,0.00
"6 Jan, 2022",24,0.83,0.02
"7 Jan, 2022",14,0.71,0.01
"8 Jan, 2022",72,0.28,0.02
"9 Jan, 2022",4,0.00,0.00
"10 Jan, 2022",7,0.00,0.00
"11 Jan, 2022",0,0,0
"12 Jan, 2022",0,0,0
"13 Jan, 2022",28,1.07,0.03
"14 Jan, 2022",0,0,0
"15 Jan, 2022",0,0,0
"16 Jan, 2022",0,0,0
"17 Jan, 2022",0,0,0
"18 Jan, 2022",0,0,0
"19 Jan, 2022",0,0,0
"20 Jan, 2022",0,0,0
"21 Jan, 2022",29,0.34,0.01
"22 Jan, 2022",0,0,0
"23 Jan, 2022",0,0,0
"24 Jan, 2022",0,0,0
"25 Jan, 2022",19,0.53,0.01
"26 Jan, 2022",19,0.53,0.01
"27 Jan, 2022",0,0,0
"28 Jan, 2022",2,0.00,0.00
"29 Jan, 2022",0,0,0
"30 Jan, 2022",0,0,0
"31 Jan, 2022",0,0,0
"
","
"
--Country--,--Device--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
Canada,Mobile,223,0.49,0.11
Canada,Desktop,29,0.34,0.01
"
","
"
"
","
"
--Country--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
United_States,100,1.00,0.1
"
","
"
--Date--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
"1 Jan, 2022",4,0.00,0.00
"2 Jan, 2022",0,0.00,0.00
"3 Jan, 2022",0,0.00,0.00
"4 Jan, 2022",3,3.33,0.01
"5 Jan, 2022",5,2.00,0.01
"6 Jan, 2022",10,2.00,0.02
"7 Jan, 2022",0,0.00,0.00
"8 Jan, 2022",0,0.00,0.00
"9 Jan, 2022",3,0.00,0.00
"10 Jan, 2022",3,0.00,0.00
"11 Jan, 2022",0,0.00,0.00
"12 Jan, 2022",0,0.00,0.00
"13 Jan, 2022",0,0.00,0.00
"14 Jan, 2022",0,0.00,0.00
"15 Jan, 2022",11,0.91,0.01
"16 Jan, 2022",0,0.00,0.00
"17 Jan, 2022",0,0.00,0.00
"18 Jan, 2022",30,0.67,0.02
"19 Jan, 2022",0,0.00,0.00
"20 Jan, 2022",0,0.00,0.00
"21 Jan, 2022",0,0.00,0.00
"22 Jan, 2022",0,0.00,0.00
"23 Jan, 2022",0,0.00,0.00
"24 Jan, 2022",0,0.00,0.00
"25 Jan, 2022",12,2.50,0.03
"26 Jan, 2022",0,0.00,0.00
"27 Jan, 2022",0,0.00,0.00
"28 Jan, 2022",1,0.00,0.00
"29 Jan, 2022",0,0.00,0.00
"30 Jan, 2022",0,0.00,0.00
"31 Jan, 2022",18,0.00,0.00
"
","
"
--Country--,--Device--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
United_States,Mobile,91,1.10,0.10
United_States,Tablet,2,0.00,0.00
United_States,Desktop,7,0.00,0.00
"
","
"
"
","
"
--Country--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
United_Arab_Emirates,203,0.34,0.07
"
","
"
--Date--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
"1 Jan, 2022",0,0,0
"2 Jan, 2022",0,0,0
"3 Jan, 2022",4,0.00,0.00
"4 Jan, 2022",4,0.00,0.00
"5 Jan, 2022",2,0.00,0.00
"6 Jan, 2022",7,0.00,0.00
"7 Jan, 2022",0,0.00,0.00
"8 Jan, 2022",0,0,0
"9 Jan, 2022",0,0.00,0.00
"10 Jan, 2022",11,0.00,0.00
"11 Jan, 2022",0,0,0
"12 Jan, 2022",3,0.00,0.00
"13 Jan, 2022",33,0.30,0.01
"14 Jan, 2022",0,0,0
"15 Jan, 2022",0,0,0
"16 Jan, 2022",0,0,0
"17 Jan, 2022",8,1.25,0.01
"18 Jan, 2022",4,5.00,0.02
"19 Jan, 2022",11,0.00,0.00
"20 Jan, 2022",7,0.00,0.00
"21 Jan, 2022",0,0,0
"22 Jan, 2022",8,0.00,0.00
"23 Jan, 2022",0,0,0
"24 Jan, 2022",0,0,0
"25 Jan, 2022",0,0,0
"26 Jan, 2022",1,0.00,0.00
"27 Jan, 2022",1,0.00,0.00
"28 Jan, 2022",2,0.00,0.00
"29 Jan, 2022",0,0,0
"30 Jan, 2022",0,0,0
"31 Jan, 2022",97,0.31,0.03
"
","
"
--Country--,--Device--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
United_Arab_Emirates,Mobile,203,0.34,0.07
United_Arab_Emirates,Tablet,0,0.00,0.00
United_Arab_Emirates,Desktop,0,0.00,0.00
"
","
"
"
","
"
--Country--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
Kuwait,9,2.22,0.02
"
","
"
--Date--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
"1 Jan, 2022",0,0,0
"2 Jan, 2022",0,0,0
"3 Jan, 2022",0,0,0
"4 Jan, 2022",0,0,0
"5 Jan, 2022",0,0,0
"6 Jan, 2022",0,0,0
"7 Jan, 2022",0,0,0
"8 Jan, 2022",0,0,0
"9 Jan, 2022",0,0,0
"10 Jan, 2022",0,0,0
"11 Jan, 2022",0,0,0
"12 Jan, 2022",7,2.86,0.02
"13 Jan, 2022",0,0,0
"14 Jan, 2022",0,0,0
"15 Jan, 2022",0,0,0
"16 Jan, 2022",0,0,0
"17 Jan, 2022",0,0,0
"18 Jan, 2022",0,0,0
"19 Jan, 2022",0,0,0
"20 Jan, 2022",0,0,0
"21 Jan, 2022",0,0.00,0.00
"22 Jan, 2022",0,0,0
"23 Jan, 2022",0,0,0
"24 Jan, 2022",0,0,0
"25 Jan, 2022",2,0.00,0.00
"26 Jan, 2022",0,0,0
"27 Jan, 2022",0,0,0
"28 Jan, 2022",0,0,0
"29 Jan, 2022",0,0,0
"30 Jan, 2022",0,0,0
"31 Jan, 2022",0,0,0
"
","
"
--Country--,--Device--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
Kuwait,Mobile,9,2.22,0.02
"
","
"
"
","
"
--Country--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
Saudi_Arabia,66,0.15,0.01
"
","
"
--Date--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
"1 Jan, 2022",0,0,0
"2 Jan, 2022",0,0,0
"3 Jan, 2022",0,0,0
"4 Jan, 2022",1,0.00,0.00
"5 Jan, 2022",0,0,0
"6 Jan, 2022",0,0,0
"7 Jan, 2022",0,0,0
"8 Jan, 2022",0,0,0
"9 Jan, 2022",0,0,0
"10 Jan, 2022",0,0,0
"11 Jan, 2022",2,0.00,0.00
"12 Jan, 2022",0,0,0
"13 Jan, 2022",0,0,0
"14 Jan, 2022",0,0,0
"15 Jan, 2022",0,0,0
"16 Jan, 2022",0,0,0
"17 Jan, 2022",0,0,0
"18 Jan, 2022",0,0,0
"19 Jan, 2022",0,0,0
"20 Jan, 2022",0,0,0
"21 Jan, 2022",0,0,0
"22 Jan, 2022",0,0,0
"23 Jan, 2022",0,0,0
"24 Jan, 2022",0,0,0
"25 Jan, 2022",0,0,0
"26 Jan, 2022",0,0,0
"27 Jan, 2022",0,0,0
"28 Jan, 2022",4,0.00,0.00
"29 Jan, 2022",0,0,0
"30 Jan, 2022",0,0,0
"31 Jan, 2022",59,0.17,0.01
"
","
"
--Country--,--Device--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
Saudi_Arabia,Mobile,66,0.15,0.01
"
","
"
"
","
"
--Country--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
Israel,24,0.42,0.01
"
","
"
--Date--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
"1 Jan, 2022",0,0,0
"2 Jan, 2022",0,0,0
"3 Jan, 2022",0,0,0
"4 Jan, 2022",0,0,0
"5 Jan, 2022",0,0,0
"6 Jan, 2022",0,0,0
"7 Jan, 2022",0,0,0
"8 Jan, 2022",24,0.42,0.01
"9 Jan, 2022",0,0,0
"10 Jan, 2022",0,0.00,0.00
"11 Jan, 2022",0,0,0
"12 Jan, 2022",0,0,0
"13 Jan, 2022",0,0,0
"14 Jan, 2022",0,0,0
"15 Jan, 2022",0,0,0
"16 Jan, 2022",0,0,0
"17 Jan, 2022",0,0,0
"18 Jan, 2022",0,0,0
"19 Jan, 2022",0,0.00,0.00
"20 Jan, 2022",0,0,0
"21 Jan, 2022",0,0,0
"22 Jan, 2022",0,0,0
"23 Jan, 2022",0,0,0
"24 Jan, 2022",0,0,0
"25 Jan, 2022",0,0,0
"26 Jan, 2022",0,0,0
"27 Jan, 2022",0,0,0
"28 Jan, 2022",0,0,0
"29 Jan, 2022",0,0,0
"30 Jan, 2022",0,0,0
"31 Jan, 2022",0,0,0
"
","
"
--Country--,--Device--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
Israel,Mobile,24,0.42,0.01
Israel,Tablet,0,0.00,0.00
"
","
"
"
","
"
--Country--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
Bahrain,3,0.00,0
"
","
"
--Date--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
"1 Jan, 2022",0,0,0
"2 Jan, 2022",0,0,0
"3 Jan, 2022",0,0,0
"4 Jan, 2022",0,0,0
"5 Jan, 2022",0,0,0
"6 Jan, 2022",0,0,0
"7 Jan, 2022",0,0,0
"8 Jan, 2022",0,0,0
"9 Jan, 2022",3,0.00,0.00
"10 Jan, 2022",0,0,0
"11 Jan, 2022",0,0,0
"12 Jan, 2022",0,0,0
"13 Jan, 2022",0,0,0
"14 Jan, 2022",0,0,0
"15 Jan, 2022",0,0,0
"16 Jan, 2022",0,0,0
"17 Jan, 2022",0,0,0
"18 Jan, 2022",0,0,0
"19 Jan, 2022",0,0,0
"20 Jan, 2022",0,0,0
"21 Jan, 2022",0,0,0
"22 Jan, 2022",0,0,0
"23 Jan, 2022",0,0,0
"24 Jan, 2022",0,0,0
"25 Jan, 2022",0,0,0
"26 Jan, 2022",0,0,0
"27 Jan, 2022",0,0,0
"28 Jan, 2022",0,0,0
"29 Jan, 2022",0,0,0
"30 Jan, 2022",0,0,0
"31 Jan, 2022",0,0,0
"
","
"
--Country--,--Device--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
Bahrain,Mobile,3,0.00,0.00
"
","
"
"
","
"
--Country--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
Other,158,0.00,0,
"
","
"
--Date--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
"1 Jan, 2022",2,0.00,0
"2 Jan, 2022",5,0.00,0
"3 Jan, 2022",9,0.00,0
"4 Jan, 2022",6,0.00,0
"5 Jan, 2022",70,0.00,0
"6 Jan, 2022",5,0.00,0
"7 Jan, 2022",8,0.00,0
"8 Jan, 2022",1,0.00,0
"9 Jan, 2022",1,0.00,0
"10 Jan, 2022",1,0.00,0
"11 Jan, 2022",0,0,0
"12 Jan, 2022",1,0.00,0
"13 Jan, 2022",11,0.00,0
"14 Jan, 2022",1,0.00,0
"15 Jan, 2022",0,0,0
"16 Jan, 2022",0,0,0
"17 Jan, 2022",0,0,0
"18 Jan, 2022",0,0,0
"19 Jan, 2022",11,0.00,0
"20 Jan, 2022",8,0.00,0
"21 Jan, 2022",0,0,0
"22 Jan, 2022",0,0,0
"23 Jan, 2022",0,0,0
"24 Jan, 2022",0,0,0
"25 Jan, 2022",0,0,0
"26 Jan, 2022",0,0,0
"27 Jan, 2022",2,0.00,0
"28 Jan, 2022",10,0.00,0
"29 Jan, 2022",2,0.00,0
"30 Jan, 2022",4,0.00,0
"31 Jan, 2022",0,0,0
"
","
"
--Country--,--Device--,"--Ad Impressions--","--Estimated eCPM--","--Estimated Earnings--"
Other,Mobile,156,0.00,0
Other,Desktop,2,0.00,0
Other,Tablet,0,0,0
"
","
"
"
","
"
