"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
Video,371578,192933,371578,100.00,1.98,0.37,70.53
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
Animatedimage,CM_gbwa.xyz_Technology_and_Computing_BTF_multisize_MBRS,17221,12879,17221,100.00,0.00,0.27,3.46
"
","
"
"
","
"
"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
Unmatchedadrequests,584111,0,0,0,0,0,0
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"10 Aug, 2021",79802,0,0,0,0,0,0
"09 Aug, 2021",66077,0,0,0,0,0,0
"08 Aug, 2021",57201,0,0,0,0,0,0
"07 Aug, 2021",40536,0,0,0,0,0,0
"06 Aug, 2021",42234,0,0,0,0,0,0
"05 Aug, 2021",38713,0,0,0,0,0,0
"04 Aug, 2021",52445,0,0,0,0,0,0
"03 Aug, 2021",57848,0,0,0,0,0,0
"02 Aug, 2021",75033,0,0,0,0,0,0
"01 Aug, 2021",74222,0,0,0,0,0,0
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
Unmatchedadrequests,CM_hindisahayta.in_Education_BTF_responsive_WC2,6558,0,0,0.00,0.00,0.00,0.00
Unmatchedadrequests,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC4,29589,0,0,0.00,0.00,0.00,0.00
Unmatchedadrequests,CM_HINDISAHAYTA_ATF_300x250,2,0,0,0.00,0.00,0.00,0.00
Unmatchedadrequests,CM_hindisahayta.in_Education_Top,21,0,0,0.00,0.00,0.00,0.00
Unmatchedadrequests,CM_hindisahayta.in_Education_BTF_responsive_WC1,8091,0,0,0.00,0.00,0.00,0.00
Unmatchedadrequests,CM_hindisahayta.in_Education_BTF_multisize_MBRS,35470,0,0,0.00,0.00,0.00,0.00
Unmatchedadrequests,CM_hindisahayta.in_Education_ATF_responsive,9053,0,0,0.00,0.00,0.00,0.00
Unmatchedadrequests,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC3,105269,0,0,0.00,0.00,0.00,0.00
Unmatchedadrequests,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC2,134435,0,0,0.00,0.00,0.00,0.00
Unmatchedadrequests,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC1,100391,0,0,0.00,0.00,0.00,0.00
Unmatchedadrequests,CM_gbwa.xyz_Technology_and_Computing_BTF_multisize_MBRS,81946,0,0,0.00,0.00,0.00,0.00
Unmatchedadrequests,CM_gbwa.xyz_Technology_and_Computing_ATF_responsive,73286,0,0,0.00,0.00,0.00,0.00
"
","
"
"
","
"
"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
Text,9669532,6528885,9669532,100.00,1.26,0.25,1661.04
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"10 Aug, 2021",1155366,743260,1155366,100.00,1.14,0.23,170.19
"09 Aug, 2021",866366,567710,866366,100.00,1.23,0.24,137.14
"08 Aug, 2021",1046469,724066,1046469,100.00,1.17,0.24,177.17
"07 Aug, 2021",909872,629437,909872,100.00,1.31,0.26,163.78
"06 Aug, 2021",865557,597331,865557,100.00,1.38,0.29,171.4
"05 Aug, 2021",950448,652134,950448,100.00,1.34,0.28,181.38
"04 Aug, 2021",1075849,737839,1075849,100.00,1.27,0.25,187.71
"03 Aug, 2021",976379,671747,976379,100.00,1.32,0.24,162.38
"02 Aug, 2021",936351,630381,936351,100.00,1.23,0.26,163.23
"01 Aug, 2021",886875,574980,886875,100.00,1.23,0.26,146.66
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
Text,CM_HINDISAHAYTA_PARENT,2,2,2,100.00,0.00,0.00,0.00
Text,CM_hindisahayta.in_Education_Top,10,0,10,100.00,0.00,0.00,0.00
Text,CM_HINDISAHAYTA_ATF_300x250,153,107,153,100.00,0.00,0.19,0.02
Text,CM_hindisahayta.in_Education_BTF_responsive_WC2,29788,85,29788,100.00,0.00,0.47,0.04
Text,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC4,279220,133752,279220,100.00,0.00,0.09,12.37
Text,CM_hindisahayta.in_Education_BTF_responsive_WC1,178913,159975,178913,100.00,0.00,0.40,63.93
Text,CM_hindisahayta.in_Education_ATF_responsive,194462,175313,194462,100.00,0.00,0.50,87.54
Text,CM_hindisahayta.in_Education_BTF_multisize_MBRS,646188,611429,646188,100.00,0.00,0.15,92.44
Text,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC1,1570152,765928,1570152,100.00,0.00,0.17,127.62
Text,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC3,1664772,1076811,1664772,100.00,0.00,0.16,167.34
Text,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC2,1553938,1056512,1553938,100.00,0.00,0.17,178.11
Text,CM_gbwa.xyz_Technology_and_Computing_BTF_multisize_MBRS,1934191,1403919,1934191,100.00,0.00,0.31,436.52
Text,CM_gbwa.xyz_Technology_and_Computing_ATF_responsive,1617743,1145052,1617743,100.00,0.00,0.43,495.11
"
","
"
"
","
"
"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
Image,728633,502780,728633,100.00,0.71,0.21,106.2
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
"10 Aug, 2021",134236,90809,134236,100.00,0.58,0.19,17.33
"09 Aug, 2021",79976,54460,79976,100.00,0.74,0.19,10.47
"08 Aug, 2021",101581,72437,101581,100.00,0.56,0.18,13.11
"07 Aug, 2021",61140,42976,61140,100.00,0.85,0.24,10.52
"06 Aug, 2021",63761,44694,63761,100.00,0.83,0.25,11.26
"05 Aug, 2021",70191,49177,70191,100.00,0.76,0.25,12.05
"04 Aug, 2021",59162,41191,59162,100.00,0.78,0.22,9.05
"03 Aug, 2021",53483,36943,53483,100.00,0.91,0.22,8.19
"02 Aug, 2021",60214,40883,60214,100.00,0.70,0.20,8.27
"01 Aug, 2021",44889,29210,44889,100.00,0.68,0.20,5.95
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Matched Ad Request--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Revenue--"
Image,CM_hindisahayta.in_Education_BTF_responsive_WC2,1480,4,1480,100.00,0.00,0.00,0.00
Image,CM_HINDISAHAYTA_ATF_300x250,3,1,3,100.00,0.00,0.00,0.00
Image,CM_hindisahayta.in_Education_Top,1,0,1,100.00,0.00,0.00,0.00
Image,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC4,24711,13817,24711,100.00,0.00,0.09,1.20
Image,CM_hindisahayta.in_Education_BTF_multisize_MBRS,23470,22265,23470,100.00,0.00,0.06,1.26
Image,CM_hindisahayta.in_Education_ATF_responsive,9525,8421,9525,100.00,0.00,0.18,1.55
Image,CM_hindisahayta.in_Education_BTF_responsive_WC1,10389,9199,10389,100.00,0.00,0.19,1.77
Image,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC3,119183,79602,119183,100.00,0.00,0.13,10.07
Image,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC2,130929,90236,130929,100.00,0.00,0.15,13.59
Image,CM_gbwa.xyz_Technology_and_Computing_BTF_responsive_WC1,151152,92245,151152,100.00,0.00,0.17,15.67
Image,CM_gbwa.xyz_Technology_and_Computing_ATF_responsive,93263,65994,93263,100.00,0.00,0.41,27.37
Image,CM_gbwa.xyz_Technology_and_Computing_BTF_multisize_MBRS,164527,120996,164527,100.00,0.00,0.28,33.72
"
","
"
"
","
"
