"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"22 Dec, 2021",99708,39252,39.37,100.00,0.44,0.18,6.95
"21 Dec, 2021",119155,40156,33.70,100.00,0.58,0.21,8.4
"20 Dec, 2021",145138,48473,33.40,100.00,0.48,0.18,8.93
"19 Dec, 2021",243706,159576,65.48,100.00,0.11,0.07,11.4
"18 Dec, 2021",259645,178822,68.87,100.00,0.09,0.06,11.52
"17 Dec, 2021",291097,201506,69.22,100.00,0.09,0.07,13.5
"16 Dec, 2021",347253,234185,67.44,100.00,0.08,0.07,17.39
"15 Dec, 2021",429234,334878,78.02,100.00,0.07,0.07,23.52
"14 Dec, 2021",139501,56478,40.49,100.00,0.45,0.20,11.12
"13 Dec, 2021",158443,57814,36.49,100.00,0.42,0.18,10.21
"12 Dec, 2021",238184,144238,60.56,100.00,0.14,0.12,16.77
"11 Dec, 2021",276846,170511,61.59,100.00,0.15,0.10,17.38
"10 Dec, 2021",279278,172083,61.62,100.00,0.13,0.10,17.71
"9 Dec, 2021",389490,279763,71.83,100.00,0.08,0.09,25.93
"8 Dec, 2021",186040,81586,43.85,100.00,0.38,0.15,12.43
"7 Dec, 2021",122133,61014,49.96,100.00,0.27,0.17,10.19
"6 Dec, 2021",183168,80387,43.89,100.00,0.37,0.15,12.33
"5 Dec, 2021",180641,75711,41.91,100.00,0.42,0.17,12.53
"4 Dec, 2021",189923,73971,38.95,100.00,0.45,0.20,14.58
"3 Dec, 2021",164157,55013,33.51,100.00,0.50,0.20,10.73
"2 Dec, 2021",231759,115429,49.81,100.00,0.21,0.14,16.36
"1 Dec, 2021",233422,101310,43.40,100.00,0.25,0.15,15.15
"30 Nov, 2021",231757,108772,46.93,100.00,0.22,0.17,18.22
"29 Nov, 2021",277357,152458,54.97,100.00,0.15,0.16,24.36
"28 Nov, 2021",167133,70062,41.92,100.00,0.41,0.22,15.14
"27 Nov, 2021",151265,65104,43.04,100.00,0.45,0.22,14.6
"26 Nov, 2021",168468,75766,44.97,100.00,0.46,0.22,17.04
"25 Nov, 2021",172605,74776,43.32,100.00,0.48,0.21,15.65
"24 Nov, 2021",200430,91251,45.53,100.00,0.43,0.18,16.61
"23 Nov, 2021",167431,76875,45.91,100.00,0.42,0.18,13.91
"22 Nov, 2021",197653,96273,48.71,100.00,0.37,0.16,15.23
"21 Nov, 2021",171442,80344,46.86,100.00,0.36,0.15,12.11
"20 Nov, 2021",146546,68234,46.56,100.00,0.36,0.15,10.24
"19 Nov, 2021",128630,63556,49.41,100.00,0.34,0.15,9.8
"18 Nov, 2021",120515,50989,42.31,100.00,0.48,0.21,10.85
"17 Nov, 2021",132301,54829,41.44,100.00,0.46,0.20,11.06
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Text,CM_serialgossip.com_Arts_and_Entertainment_BTF_Fixed_DBRS,695,13,1.87,100.00,0.00,0.00,0.00
Text,CM_Serialgossip.com_Arts_and_entertainment_300x600,1822,1489,81.72,100.00,0.00,0.05,0.08
Text,CM_serialgossip.com_Arts_and_Entertainment_BTF_responsive_EOC,11300,9215,81.55,100.00,0.00,0.07,0.62
Text,CM_serialgossip.com_Arts_and_Entertainment_BTF_multisize_DBRS,10364,9626,92.88,100.00,0.00,0.16,1.52
Text,CM_serialgossip.com_Arts_and_Entertainment_BTF_Fixed_300x250,496278,453861,91.45,100.00,0.00,0.05,23.83
Text,CM_serialgossip.com_Arts_and_Entertainment_BTF_responsive_INT,8218225,941616,11.46,100.00,0.00,0.51,480.62
Text,CM_serialgossip.com_Arts_and_Entertainment_BTF_multisize_MBRS,8185950,7744060,94.60,100.00,0.00,0.06,494.79
"
","
"
"
","
"
"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Image,15553223,10087628,64.86,100.00,0.12,0.10,1009.42
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"16 Feb, 2022",152650,106100,69.51,100.00,0.11,0.07,7.44
"15 Feb, 2022",134762,100174,74.33,100.00,0.12,0.08,7.95
"14 Feb, 2022",112786,76766,68.06,100.00,0.13,0.08,6.34
"13 Feb, 2022",107949,70704,65.50,100.00,0.14,0.08,5.4
"12 Feb, 2022",125579,84571,67.34,100.00,0.12,0.08,7.02
"11 Feb, 2022",119346,80970,67.84,100.00,0.09,0.10,7.74
"10 Feb, 2022",115518,77767,67.32,100.00,0.09,0.09,7.18
"9 Feb, 2022",124016,82389,66.43,100.00,0.11,0.09,7.55
"8 Feb, 2022",166389,112529,67.63,100.00,0.09,0.09,10.06
"7 Feb, 2022",184800,126316,68.35,100.00,0.14,0.08,10.2
"6 Feb, 2022",99725,67654,67.84,100.00,0.15,0.08,5.24
"5 Feb, 2022",90104,58342,64.75,100.00,0.17,0.08,4.46
"4 Feb, 2022",136662,95009,69.52,100.00,0.13,0.08,7.87
"3 Feb, 2022",112113,75890,67.69,100.00,0.16,0.09,7.05
"2 Feb, 2022",96911,64725,66.79,100.00,0.13,0.10,6.22
"1 Feb, 2022",122029,84967,69.63,100.00,0.10,0.10,8.28
"31 Jan, 2022",165441,117502,71.02,100.00,0.08,0.08,9.69
"30 Jan, 2022",184575,126330,68.44,100.00,0.11,0.09,10.98
"29 Jan, 2022",188005,132366,70.41,100.00,0.12,0.08,11.12
"28 Jan, 2022",152007,104514,68.76,100.00,0.15,0.10,10.08
"27 Jan, 2022",143515,98661,68.75,100.00,0.14,0.09,9.18
"26 Jan, 2022",143413,96906,67.57,100.00,0.12,0.10,9.91
"25 Jan, 2022",167720,119255,71.10,100.00,0.11,0.10,11.38
"24 Jan, 2022",152343,109630,71.96,100.00,0.11,0.09,10.38
"23 Jan, 2022",125269,85905,68.58,100.00,0.09,0.10,8.37
"22 Jan, 2022",100622,69067,68.64,100.00,0.12,0.10,7.13
"21 Jan, 2022",100897,65236,64.66,100.00,0.18,0.12,7.78
"20 Jan, 2022",109586,71868,65.58,100.00,0.13,0.11,7.61
"19 Jan, 2022",92460,60492,65.43,100.00,0.14,0.11,6.56
"18 Jan, 2022",91989,57569,62.58,100.00,0.14,0.11,6.07
"17 Jan, 2022",112224,76275,67.97,100.00,0.14,0.09,6.93
"16 Jan, 2022",113694,84611,74.42,100.00,0.09,0.08,6.69
"15 Jan, 2022",123276,92283,74.86,100.00,0.09,0.09,8.08
"14 Jan, 2022",158174,116446,73.62,100.00,0.08,0.09,10.71
"13 Jan, 2022",116673,80023,68.59,100.00,0.13,0.09,7.28
"12 Jan, 2022",123163,82084,66.65,100.00,0.14,0.10,8.19
"11 Jan, 2022",160453,110329,68.76,100.00,0.12,0.08,9.13
"10 Jan, 2022",170567,117070,68.64,100.00,0.14,0.08,9.58
"9 Jan, 2022",144707,100606,69.52,100.00,0.12,0.07,7.42
"8 Jan, 2022",179745,124848,69.46,100.00,0.12,0.07,9.01
"7 Jan, 2022",173123,123383,71.27,100.00,0.13,0.07,9.18
"6 Jan, 2022",131684,91894,69.78,100.00,0.12,0.09,8.53
"5 Jan, 2022",144897,105875,73.07,100.00,0.10,0.09,9.5
"4 Jan, 2022",164948,118931,72.10,100.00,0.12,0.11,12.7
"3 Jan, 2022",124360,87282,70.18,100.00,0.13,0.10,8.78
"2 Jan, 2022",131425,91672,69.75,100.00,0.13,0.09,8.37
"1 Jan, 2022",148150,107156,72.33,100.00,0.10,0.08,8.59
"31 Dec, 2021",187902,135691,72.21,100.00,0.10,0.09,11.76
"30 Dec, 2021",202812,141939,69.99,100.00,0.12,0.10,14.1
"29 Dec, 2021",247633,174421,70.44,100.00,0.10,0.09,16.04
"28 Dec, 2021",218576,150551,68.88,100.00,0.10,0.09,14.12
"27 Dec, 2021",221402,160288,72.40,100.00,0.09,0.10,15.31
"26 Dec, 2021",224600,156803,69.81,100.00,0.10,0.09,14.22
"25 Dec, 2021",175245,124528,71.06,100.00,0.11,0.09,11.15
"24 Dec, 2021",205596,148178,72.07,100.00,0.10,0.08,12.03
"23 Dec, 2021",169823,122710,72.26,100.00,0.08,0.09,10.71
"22 Dec, 2021",198997,140737,70.72,100.00,0.11,0.08,11.75
"21 Dec, 2021",218651,157497,72.03,100.00,0.11,0.09,13.41
"20 Dec, 2021",244458,177904,72.77,100.00,0.11,0.08,14.36
"19 Dec, 2021",206363,133642,64.76,100.00,0.10,0.08,10.59
"18 Dec, 2021",211048,125487,59.46,100.00,0.10,0.09,10.92
"17 Dec, 2021",201560,127579,63.30,100.00,0.09,0.10,13.22
"16 Dec, 2021",223585,139538,62.41,100.00,0.08,0.11,15.81
"15 Dec, 2021",228479,149040,65.23,100.00,0.10,0.13,19.95
"14 Dec, 2021",201646,124478,61.73,100.00,0.13,0.13,15.65
"13 Dec, 2021",214141,135216,63.14,100.00,0.12,0.11,14.95
"12 Dec, 2021",197697,131054,66.29,100.00,0.07,0.12,15.16
"11 Dec, 2021",215213,139736,64.93,100.00,0.08,0.11,15.49
"10 Dec, 2021",196899,114515,58.16,100.00,0.10,0.11,12.49
"9 Dec, 2021",218431,143191,65.55,100.00,0.10,0.12,17.1
"8 Dec, 2021",207375,131447,63.39,100.00,0.13,0.11,14.36
"7 Dec, 2021",172669,112227,65.00,100.00,0.13,0.12,13.15
"6 Dec, 2021",227350,146516,64.45,100.00,0.13,0.11,15.74
"5 Dec, 2021",200357,127457,63.61,100.00,0.13,0.12,14.85
"4 Dec, 2021",210038,132164,62.92,100.00,0.14,0.13,17.45
"3 Dec, 2021",227368,141836,62.38,100.00,0.14,0.11,15.9
"2 Dec, 2021",119988,39253,32.71,100.00,0.26,0.15,5.8
"1 Dec, 2021",114311,34732,30.38,100.00,0.26,0.15,5.06
"30 Nov, 2021",151371,42299,27.94,100.00,0.22,0.14,6.08
"29 Nov, 2021",195026,56872,29.16,100.00,0.21,0.13,7.58
"28 Nov, 2021",215891,110128,51.01,100.00,0.12,0.13,14.41
"27 Nov, 2021",217822,114096,52.38,100.00,0.14,0.14,16.18
"26 Nov, 2021",225553,122867,54.47,100.00,0.13,0.15,18.28
"25 Nov, 2021",217070,117370,54.07,100.00,0.11,0.14,16.09
"24 Nov, 2021",238703,132285,55.42,100.00,0.13,0.14,18.14
"23 Nov, 2021",204625,115741,56.56,100.00,0.12,0.14,16.56
"22 Nov, 2021",217763,132233,60.72,100.00,0.11,0.13,17.02
"21 Nov, 2021",220801,139827,63.33,100.00,0.11,0.11,14.7
"20 Nov, 2021",211024,135946,64.42,100.00,0.12,0.10,13.31
"19 Nov, 2021",198395,123313,62.16,100.00,0.10,0.10,11.77
"18 Nov, 2021",196583,125283,63.73,100.00,0.11,0.10,13.08
"17 Nov, 2021",191939,108071,56.30,100.00,0.12,0.12,12.71
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Image,CM_serialgossip.com_Arts_and_Entertainment_BTF_Fixed_DBRS,15258,59,0.39,100.00,0.00,0.00,0.00
Image,CM_Serialgossip.com_Arts_and_entertainment_300x600,9470,7295,77.03,100.00,0.00,0.08,0.61
Image,CM_serialgossip.com_Arts_and_Entertainment_BTF_multisize_DBRS,38621,35745,92.55,100.00,0.00,0.08,2.88
Image,CM_serialgossip.com_Arts_and_Entertainment_BTF_responsive_EOC,33842,27085,80.03,100.00,0.00,0.12,3.14
Image,CM_serialgossip.com_Arts_and_Entertainment_BTF_Fixed_300x250,3392526,2844861,83.86,100.00,0.00,0.07,190.65
Image,CM_serialgossip.com_Arts_and_Entertainment_BTF_responsive_INT,5260843,758777,14.42,100.00,0.00,0.38,285.05
Image,CM_serialgossip.com_Arts_and_Entertainment_BTF_multisize_MBRS,6802663,6413806,94.28,100.00,0.00,0.08,527.09
"
","
"
"
","
"
"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Animatedimage,1685243,1265018,75.06,100.00,0.09,0.11,136.61
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"16 Feb, 2022",8277,6271,75.76,100.00,0.05,0.12,0.73
"15 Feb, 2022",7924,6294,79.43,100.00,0.10,0.11,0.72
"14 Feb, 2022",7861,5795,73.72,100.00,0.12,0.12,0.68
"13 Feb, 2022",8281,6072,73.32,100.00,0.08,0.08,0.48
"12 Feb, 2022",20334,17204,84.61,100.00,0.08,0.04,0.77
"11 Feb, 2022",28799,25091,87.12,100.00,0.02,0.05,1.18
"10 Feb, 2022",29752,25963,87.26,100.00,0.03,0.05,1.29
"9 Feb, 2022",33602,29399,87.49,100.00,0.01,0.04,1.29
"8 Feb, 2022",35770,31535,88.16,100.00,0.03,0.05,1.54
"7 Feb, 2022",31854,27705,86.97,100.00,0.04,0.04,1.14
"6 Feb, 2022",14297,12190,85.26,100.00,0.03,0.05,0.6
"5 Feb, 2022",14264,12118,84.96,100.00,0.03,0.06,0.69
"4 Feb, 2022",25786,22291,86.45,100.00,0.07,0.04,0.97
"3 Feb, 2022",27118,23835,87.89,100.00,0.04,0.05,1.21
"2 Feb, 2022",23657,20493,86.63,100.00,0.09,0.07,1.36
"1 Feb, 2022",34681,30506,87.96,100.00,0.04,0.06,1.83
"31 Jan, 2022",36860,32220,87.41,100.00,0.02,0.06,1.97
"30 Jan, 2022",27066,23006,85.00,100.00,0.05,0.08,1.84
"29 Jan, 2022",26689,22564,84.54,100.00,0.06,0.08,1.9
"28 Jan, 2022",22122,18717,84.61,100.00,0.06,0.09,1.73
"27 Jan, 2022",20261,16955,83.68,100.00,0.04,0.10,1.71
"26 Jan, 2022",19110,15423,80.71,100.00,0.08,0.12,1.78
"25 Jan, 2022",22090,17897,81.02,100.00,0.07,0.09,1.63
"24 Jan, 2022",19713,16285,82.61,100.00,0.10,0.09,1.48
"23 Jan, 2022",12035,9185,76.32,100.00,0.13,0.16,1.49
"22 Jan, 2022",9110,6916,75.92,100.00,0.14,0.16,1.14
"21 Jan, 2022",13815,10512,76.09,100.00,0.10,0.14,1.5
"20 Jan, 2022",13822,10254,74.19,100.00,0.08,0.15,1.53
"19 Jan, 2022",11832,8546,72.23,100.00,0.18,0.13,1.13
"18 Jan, 2022",6749,4805,71.20,100.00,0.10,0.15,0.73
"17 Jan, 2022",7884,5646,71.61,100.00,0.16,0.14,0.79
"16 Jan, 2022",7701,5960,77.39,100.00,0.12,0.14,0.82
"15 Jan, 2022",10043,7774,77.41,100.00,0.12,0.14,1.06
"14 Jan, 2022",14123,11332,80.24,100.00,0.10,0.15,1.73
"13 Jan, 2022",8970,6440,71.79,100.00,0.12,0.15,0.97
"12 Jan, 2022",9752,7315,75.01,100.00,0.22,0.14,1.06
"11 Jan, 2022",11388,8192,71.94,100.00,0.18,0.13,1.08
"10 Jan, 2022",10939,8285,75.74,100.00,0.13,0.13,1.09
"9 Jan, 2022",9913,7069,71.31,100.00,0.16,0.11,0.78
"8 Jan, 2022",11432,8644,75.61,100.00,0.08,0.11,0.99
"7 Jan, 2022",11570,8781,75.89,100.00,0.10,0.09,0.79
"6 Jan, 2022",10153,7793,76.76,100.00,0.10,0.15,1.15
"5 Jan, 2022",13350,9882,74.02,100.00,0.11,0.12,1.2
"4 Jan, 2022",12013,9420,78.42,100.00,0.11,0.12,1.14
"3 Jan, 2022",9136,6724,73.60,100.00,0.24,0.11,0.75
"2 Jan, 2022",8791,6777,77.09,100.00,0.06,0.12,0.83
"1 Jan, 2022",8152,6257,76.75,100.00,0.10,0.11,0.7
"31 Dec, 2021",12580,9035,71.82,100.00,0.06,0.11,1
"30 Dec, 2021",17512,13246,75.64,100.00,0.14,0.12,1.64
"29 Dec, 2021",16673,12159,72.93,100.00,0.12,0.13,1.52
"28 Dec, 2021",16126,11731,72.75,100.00,0.14,0.13,1.56
"27 Dec, 2021",13032,9284,71.24,100.00,0.11,0.15,1.35
"26 Dec, 2021",19598,14536,74.17,100.00,0.20,0.10,1.45
"25 Dec, 2021",14808,10684,72.15,100.00,0.07,0.10,1.06
"24 Dec, 2021",14234,10307,72.41,100.00,0.18,0.11,1.18
"23 Dec, 2021",12778,9329,73.01,100.00,0.13,0.13,1.24
"22 Dec, 2021",12668,9722,76.74,100.00,0.15,0.13,1.22
"21 Dec, 2021",13663,10459,76.55,100.00,0.11,0.12,1.24
"20 Dec, 2021",15093,11576,76.70,100.00,0.07,0.10,1.15
"19 Dec, 2021",24009,16615,69.20,100.00,0.11,0.08,1.29
"18 Dec, 2021",24266,19591,80.73,100.00,0.07,0.07,1.43
"17 Dec, 2021",28470,20137,70.73,100.00,0.11,0.09,1.83
"16 Dec, 2021",34340,23226,67.64,100.00,0.09,0.10,2.38
"15 Dec, 2021",28086,22843,81.33,100.00,0.06,0.13,2.95
"14 Dec, 2021",25275,15319,60.61,100.00,0.12,0.14,2.11
"13 Dec, 2021",26225,15973,60.91,100.00,0.10,0.13,2.12
"12 Dec, 2021",31427,25306,80.52,100.00,0.04,0.11,2.82
"11 Dec, 2021",32591,23069,70.78,100.00,0.08,0.13,3.03
"10 Dec, 2021",24078,16754,69.58,100.00,0.10,0.18,3.08
"9 Dec, 2021",30239,22340,73.88,100.00,0.10,0.14,3.2
"8 Dec, 2021",29014,21786,75.09,100.00,0.10,0.10,2.14
"7 Dec, 2021",12531,9084,72.49,100.00,0.11,0.20,1.82
"6 Dec, 2021",18749,13126,70.01,100.00,0.09,0.18,2.32
"5 Dec, 2021",18163,13542,74.56,100.00,0.10,0.15,2.04
"4 Dec, 2021",19182,14078,73.39,100.00,0.17,0.14,1.93
"3 Dec, 2021",21827,16324,74.79,100.00,0.10,0.11,1.75
"2 Dec, 2021",10073,5305,52.67,100.00,0.17,0.14,0.76
"1 Dec, 2021",9927,5529,55.70,100.00,0.09,0.13,0.72
"30 Nov, 2021",12928,6948,53.74,100.00,0.13,0.11,0.76
"29 Nov, 2021",12782,6976,54.58,100.00,0.09,0.14,0.95
"28 Nov, 2021",15121,10076,66.64,100.00,0.22,0.17,1.74
"27 Nov, 2021",17342,12453,71.81,100.00,0.07,0.17,2.1
"26 Nov, 2021",18429,12648,68.63,100.00,0.06,0.17,2.2
"25 Nov, 2021",18680,12469,66.75,100.00,0.12,0.19,2.41
"24 Nov, 2021",23449,15056,64.21,100.00,0.09,0.13,2.03
"23 Nov, 2021",23995,13004,54.19,100.00,0.16,0.17,2.16
"22 Nov, 2021",22597,14362,63.56,100.00,0.16,0.15,2.17
"21 Nov, 2021",22309,13781,61.77,100.00,0.20,0.13,1.73
"20 Nov, 2021",18884,12215,64.68,100.00,0.11,0.15,1.82
"19 Nov, 2021",17281,11112,64.30,100.00,0.09,0.16,1.79
"18 Nov, 2021",27758,14898,53.67,100.00,0.16,0.19,2.86
"17 Nov, 2021",17610,8667,49.22,100.00,0.17,0.18,1.59
"
","
"
"--Ad Types--","--Ad Units--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Animatedimage,CM_serialgossip.com_Arts_and_Entertainment_BTF_Fixed_DBRS,471,3,0.64,100.00,0.00,0.00,0.00
Animatedimage,CM_Serialgossip.com_Arts_and_entertainment_300x600,1309,1127,86.10,100.00,0.00,0.09,0.10
Animatedimage,CM_serialgossip.com_Arts_and_Entertainment_BTF_multisize_DBRS,2966,2846,95.95,100.00,0.00,0.11,0.30
Animatedimage,CM_serialgossip.com_Arts_and_Entertainment_BTF_responsive_EOC,4792,4213,87.92,100.00,0.00,0.18,0.77
Animatedimage,CM_serialgossip.com_Arts_and_Entertainment_BTF_Fixed_300x250,500856,470446,93.93,100.00,0.00,0.07,33.62
Animatedimage,CM_serialgossip.com_Arts_and_Entertainment_BTF_responsive_INT,393601,52096,13.24,100.00,0.00,0.67,34.65
Animatedimage,CM_serialgossip.com_Arts_and_Entertainment_BTF_multisize_MBRS,781248,734287,93.99,100.00,0.00,0.09,67.17
"
","
"
"
","
"
"--Ad Types--","--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Unmatchedadrequests,27199613,0,0.00,0,0,0,0
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"16 Feb, 2022",206702,0,0.00,0,0,0,0
"15 Feb, 2022",184582,0,0.00,0,0,0,0
"14 Feb, 2022",198510,0,0.00,0,0,0,0
"13 Feb, 2022",157272,0,0.00,0,0,0,0
"12 Feb, 2022",210864,0,0.00,0,0,0,0
"11 Feb, 2022",437786,0,0.00,0,0,0,0
"10 Feb, 2022",376676,0,0.00,0,0,0,0
"9 Feb, 2022",374863,0,0.00,0,0,0,0
"8 Feb, 2022",368906,0,0.00,0,0,0,0
"7 Feb, 2022",197278,0,0.00,0,0,0,0
"6 Feb, 2022",130655,0,0.00,0,0,0,0
"5 Feb, 2022",139251,0,0.00,0,0,0,0
"4 Feb, 2022",208653,0,0.00,0,0,0,0
"3 Feb, 2022",232057,0,0.00,0,0,0,0
"2 Feb, 2022",160052,0,0.00,0,0,0,0
"1 Feb, 2022",368420,0,0.00,0,0,0,0
"31 Jan, 2022",240359,0,0.00,0,0,0,0
"30 Jan, 2022",77494,0,0.00,0,0,0,0
"29 Jan, 2022",56746,0,0.00,0,0,0,0
"28 Jan, 2022",48172,0,0.00,0,0,0,0
"27 Jan, 2022",38802,0,0.00,0,0,0,0
"26 Jan, 2022",62761,0,0.00,0,0,0,0
"25 Jan, 2022",186712,0,0.00,0,0,0,0
"24 Jan, 2022",174325,0,0.00,0,0,0,0
"23 Jan, 2022",130437,0,0.00,0,0,0,0
"22 Jan, 2022",119784,0,0.00,0,0,0,0
"21 Jan, 2022",106556,0,0.00,0,0,0,0
"20 Jan, 2022",96415,0,0.00,0,0,0,0
"19 Jan, 2022",87593,0,0.00,0,0,0,0
"18 Jan, 2022",135352,0,0.00,0,0,0,0
"17 Jan, 2022",243640,0,0.00,0,0,0,0
"16 Jan, 2022",264238,0,0.00,0,0,0,0
"15 Jan, 2022",231011,0,0.00,0,0,0,0
"14 Jan, 2022",311588,0,0.00,0,0,0,0
"13 Jan, 2022",175800,0,0.00,0,0,0,0
"12 Jan, 2022",134470,0,0.00,0,0,0,0
"11 Jan, 2022",151086,0,0.00,0,0,0,0
"10 Jan, 2022",148646,0,0.00,0,0,0,0
"9 Jan, 2022",117175,0,0.00,0,0,0,0
"8 Jan, 2022",140211,0,0.00,0,0,0,0
"7 Jan, 2022",225073,0,0.00,0,0,0,0
"6 Jan, 2022",173551,0,0.00,0,0,0,0
"5 Jan, 2022",246548,0,0.00,0,0,0,0
"4 Jan, 2022",228324,0,0.00,0,0,0,0
"3 Jan, 2022",268632,0,0.00,0,0,0,0
"2 Jan, 2022",364996,0,0.00,0,0,0,0
"1 Jan, 2022",373874,0,0.00,0,0,0,0
